ACTINV-PROBLEM 1
n 3822
decay 8751
182 183 4.39881864586119065e+00
184 184 -9.64982849171579088e-02
163 184 9.64982849171579088e-02
185 185 -3.06339022999251015e-14
164 185 3.06339022999251015e-14
186 186 -1.09239611132816189e-01
164 186 1.09239611132816189e-01
188 188 -5.15412376609816238e-03
209 188 5.15412376609816238e-03
189 189 -1.76104466605677139e-03
210 189 1.76104466605677139e-03
190 190 -1.91477121701642328e-01
211 190 1.91477121701642328e-01
191 191 -1.07631549776389024e+00
212 191 1.07631549776389024e+00
192 192 -2.10044600169680393e+01
213 192 2.10044600169680393e+01
193 193 -1.66222345458020442e+01
214 193 1.52093446094088716e+01
213 193 1.41288993639317395e+00
194 194 -1.65035042990463161e+01
215 194 1.20475581383038097e+01
214 194 4.45594616074250549e+00
195 195 -1.79571808435218969e+01
216 195 1.05947366976779183e+01
215 195 7.36244414584397688e+00
196 196 -7.70163533955494817e+00
217 196 5.31412838429291412e+00
216 196 2.38750695526203405e+00
197 197 -6.47801103327051635e+01
218 197 6.47801103327051635e+01
198 198 -9.12035763894664910e+01
219 198 4.56017881947332455e+01
218 198 4.56017881947332455e+01
199 199 -9.12035763894664851e+04
220 199 4.56017881947332426e+04
219 199 4.56017881947332426e+04
200 200 -2.66595069446132798e+06
221 200 1.33297534723066399e+06
220 200 1.33297534723066399e+06
201 201 -2.66595069446132798e+06
222 201 2.66595069446132798e+06
202 202 -4.07733635623497237e+06
223 202 2.03866817811748618e+06
222 202 2.03866817811748618e+06
203 203 -2.39016269158601808e+01
180 203 1.62531063027849250e+01
159 203 7.64852061307525766e+00
204 204 -1.63864581692658469e+01
181 204 3.76888537893114473e+00
160 204 1.19621144635640686e+01
139 204 6.55458326770633870e-01
205 205 -4.95105128971389430e+00
182 205 3.06965179962261425e+00
161 205 1.88139949009127982e+00
206 206 -3.15066900254520599e+00
184 206 2.04793485165438405e+00
162 206 1.10273415089082194e+00
207 207 -3.10271790760942412e-01
185 207 1.22371194276115673e-04
186 207 3.10149419566666307e-01
208 208 -1.66621918403833003e-01
187 208 1.66621918403833003e-01
212 212 -7.34421678914966368e-05
233 212 7.34421678914966368e-05
213 213 -1.43558963811342943e-10
234 213 1.43558963811342943e-10
214 214 -1.13444710402609700e-01
235 214 1.13444710402609700e-01
215 215 -2.50233639191315971e-01
236 215 2.50233639191315971e-01
216 216 -8.88650231487109310e-01
237 216 8.88650231487109310e-01
217 217 -1.54032706791098950e+00
238 217 1.38629436111989057e+00
237 217 1.54032706791098956e-01
218 218 -7.70163533955494817e+00
239 218 6.39235733183060706e+00
238 218 1.30927800772434133e+00
219 219 -6.93147180559945293e+05
240 219 3.46573590279972646e+05
239 219 3.46573590279972646e+05
220 220 -1.45925722223146366e+01
241 220 7.29628611115731829e+00
240 220 7.29628611115731829e+00
221 221 -2.10044600169680393e+01
242 221 1.05022300084840197e+01
241 221 1.05022300084840197e+01
222 222 -3.46573590279972663e+01
243 222 3.46573590279972663e+01
223 223 -5.54517744447956176e+01
244 223 5.54517744447956176e+01
224 224 -1.15524530093324222e+07
245 224 5.77622650466621108e+06
244 224 5.77622650466621108e+06
225 225 -1.92540883488873695e+06
245 225 9.62704417444368475e+05
246 225 9.62704417444368475e+05
226 226 -9.36685379135061140e+01
205 226 4.68342689567530570e+01
204 226 4.68342689567530570e+01
227 227 -2.31049060186648443e+07
205 227 2.31049060186648443e+07
228 228 -1.58614915459941699e+01
207 228 1.58614915459941699e+01
229 229 -2.66595069446132804e+00
208 229 2.66408452897520487e+00
185 229 1.86616548612292960e-03
230 230 -2.56436248819809576e+00
209 230 2.56430709796835066e+00
162 230 2.20535173985036260e-05
187 230 3.33367123465752414e-05
231 231 -1.67346011723791710e-01
210 231 1.67346011723791710e-01
232 232 -4.62468094849176250e-03
211 232 4.62468094849176250e-03
234 234 -5.62471998461397986e-07
255 234 5.62471998461397986e-07
235 235 -3.16595770009329298e-07
256 235 3.16595770009329298e-07
236 236 -5.57640531423930219e-02
257 236 5.57640531423930219e-02
237 237 -1.46542744304428187e-02
258 237 1.46542744304428187e-02
238 238 -1.23776282242847382e-01
259 238 1.23776282242847382e-01
239 239 -3.00063714528114811e-01
260 239 3.00063714528114811e-01
